key,common,scientific,class,rank
great_crested_flycatcher,Great Crested Flycatcher,Myiarchus crinitus,Aves,species
least_flycatcher,Least Flycatcher,Empidonax minimus,Aves,species
olive_sided_flycatcher,Olive-sided Flycatcher,Contopus cooperi,Aves,species
scissor_tailed_flycatcher,Scissor-tailed Flycatcher,Tyrannus forficatus,Aves,species
vermilion_flycatcher,Vermilion Flycatcher,Pyrocephalus rubinus,Aves,species
yellow_bellied_flycatcher,Yellow-bellied Flycatcher,Empidonax flaviventris,Aves,species
frigatebird,Frigatebird,Fregata,Aves,genus
northern_fulmar,Northern Fulmar,Fulmarus glacialis,Aves,species
gadwall,Gadwall,Mareca strepera,Aves,species
american_goldfinch,American Goldfinch,Spinus tristis,Aves,species
european_goldfinch,European Goldfinch,Carduelis carduelis,Aves,species
boat_tailed_grackle,Boat-tailed Grackle,Quiscalus major,Aves,species
eared_grebe,Eared Grebe,Podiceps nigricollis,Aves,species
horned_grebe,Horned Grebe,Podiceps auritus,Aves,species
pied_billed_grebe,Pied-billed Grebe,Podilymbus podiceps,Aves,species
western_grebe,Western Grebe,Aechmophorus occidentalis,Aves,species
blue_grosbeak,Blue Grosbeak,Passerina caerulea,Aves,species
evening_grosbeak,Evening Grosbeak,Coccothraustes vespertinus,Aves,species
pine_grosbeak,Pine Grosbeak,Pinicola enucleator,Aves,species
rose_breasted_grosbeak,Rose-breasted Grosbeak,Pheucticus ludovicianus,Aves,species
pigeon_guillemot,Pigeon Guillemot,Cepphus columba,Aves,species
california_gull,California Gull,Larus californicus,Aves,species
glaucous_winged_gull,Glaucous-winged Gull,Larus glaucescens,Aves,species
heermann_gull,Heermann’s Gull,Larus heermanni,Aves,species
herring_gull,Herring Gull,Larus argentatus,Aves,species
ivory_gull,Ivory Gull,Pagophila eburnea,Aves,species
ring_billed_gull,Ring-billed Gull,Larus delawarensis,Aves,species
slaty_backed_gull,Slaty-backed Gull,Larus schistisagus,Aves,species
western_gull,Western Gull,Larus occidentalis,Aves,species
anna_hummingbird,Anna’s Hummingbird,Calypte anna,Aves,species
ruby_throated_hummingbird,Ruby-throated Hummingbird,Archilochus colubris,Aves,species
rufous_hummingbird,Rufous Hummingbird,Selasphorus rufus,Aves,species
green_violetear,Mexican Violetear,Colibri thalassinus,Aves,species
long_tailed_jaeger,Long-tailed Jaeger,Stercorarius longicaudus,Aves,species
pomarine_jaeger,Pomarine Jaeger,Stercorarius pomarinus,Aves,species
blue_jay,Blue Jay,Cyanocitta cristata,Aves,species
florida_jay,Florida Scrub-Jay,Aphelocoma coerulescens,Aves,species
green_jay,Green Jay,Cyanocorax yncas,Aves,species
dark_eyed_junco,Dark-eyed Junco,Junco hyemalis,Aves,species
tropical_kingbird,Tropical Kingbird,Tyrannus melancholicus,Aves,species
gray_kingbird,Gray Kingbird,Tyrannus dominicensis,Aves,species
belted_kingfisher,Belted Kingfisher,Megaceryle alcyon,Aves,species
green_kingfisher,Green Kingfisher,Chloroceryle americana,Aves,species
pied_kingfisher,Pied Kingfisher,Ceryle rudis,Aves,species
ringed_kingfisher,Ringed Kingfisher,Megaceryle torquata,Aves,species
white_breasted_kingfisher,White-throated Kingfisher,Halcyon smyrnensis,Aves,species
red_legged_kittiwake,Red-legged Kittiwake,Rissa brevirostris,Aves,species
horned_lark,Horned Lark,Eremophila alpestris,Aves,species
pacific_loon,Pacific Loon,Gavia pacifica,Aves,species
mallard,Mallard,Anas platyrhynchos,Aves,species
western_meadowlark,Western Meadowlark,Sturnella neglecta,Aves,species
hooded_merganser,Hooded Merganser,Lophodytes cucullatus,Aves,species
red_breasted_merganser,Red-breasted Merganser,Mergus serrator,Aves,species
mockingbird,Northern Mockingbird,Mimus polyglottos,Aves,species
nighthawk,Common Nighthawk,Chordeiles minor,Aves,species
clark_nutcracker,Clark’s Nutcracker,Nucifraga columbiana,Aves,species
white_breasted_nuthatch,White-breasted Nuthatch,Sitta carolinensis,Aves,species
baltimore_oriole,Baltimore Oriole,Icterus galbula,Aves,species
hooded_oriole,Hooded Oriole,Icterus cucullatus,Aves,species
orchard_oriole,Orchard Oriole,Icterus spurius,Aves,species
scott_oriole,Scott’s Oriole,Icterus parisorum,Aves,species
ovenbird,Ovenbird,Seiurus aurocapilla,Aves,species
brown_pelican,Brown Pelican,Pelecanus occidentalis,Aves,species
white_pelican,American White Pelican,Pelecanus erythrorhynchos,Aves,species
western_wood_pewee,Western Wood-Pewee,Contopus sordidulus,Aves,species
sayornis,Phoebe,Sayornis,Aves,genus
american_pipit,American Pipit,Anthus rubescens,Aves,species
whip_poor_will,Eastern Whip-poor-will,Antrostomus vociferus,Aves,species
horned_puffin,Horned Puffin,Fratercula corniculata,Aves,species
common_raven,Common Raven,Corvus corax,Aves,species
white_necked_raven,White-necked Raven,,Aves,species
american_redstart,American Redstart,Setophaga ruticilla,Aves,species
geococcyx,Roadrunner,Geococcyx,Aves,genus
loggerhead_shrike,Loggerhead Shrike,Lanius ludovicianus,Aves,species
great_grey_shrike,Great Grey Shrike,Lanius excubitor,Aves,species
baird_sparrow,Baird’s Sparrow,Ammodramus bairdii,Aves,species
black_throated_sparrow,Black-throated Sparrow,Amphispiza bilineata,Aves,species
brewer_sparrow,Brewer’s Sparrow,Spizella breweri,Aves,species
chipping_sparrow,Chipping Sparrow,Spizella passerina,Aves,species
clay_colored_sparrow,Clay-colored Sparrow,Spizella pallida,Aves,species
house_sparrow,House Sparrow,Passer domesticus,Aves,species
field_sparrow,Field Sparrow,Spizella pusilla,Aves,species
fox_sparrow,Fox Sparrow,Passerella iliaca,Aves,species
grasshopper_sparrow,Grasshopper Sparrow,Ammodramus savannarum,Aves,species
harris_sparrow,Harris’s Sparrow,Zonotrichia querula,Aves,species
henslow_sparrow,Henslow’s Sparrow,Ammodramus henslowii,Aves,species
le_conte_sparrow,Le Conte’s Sparrow,Ammodramus leconteii,Aves,species
lincoln_sparrow,Lincoln’s Sparrow,Melospiza lincolnii,Aves,species
nelson_sharp_tailed_sparrow,Nelson’s Sparrow,Ammodramus nelsoni,Aves,species
savannah_sparrow,Savannah Sparrow,Passerculus sandwichensis,Aves,species
seaside_sparrow,Seaside Sparrow,Ammodramus maritimus,Aves,species
song_sparrow,Song Sparrow,Melospiza melodia,Aves,species
tree_sparrow,American Tree Sparrow,Spizella arborea,Aves,species
vesper_sparrow,Vesper Sparrow,Pooecetes gramineus,Aves,species
white_crowned_sparrow,White-crowned Sparrow,Zonotrichia leucophrys,Aves,species
white_throated_sparrow,White-throated Sparrow,Zonotrichia albicollis,Aves,species
cape_glossy_starling,Cape Starling,Lamprotornis nitens,Aves,species
bank_swallow,Bank Swallow,Riparia riparia,Aves,species
barn_swallow,Barn Swallow,Hirundo rustica,Aves,species
cliff_swallow,Cliff Swallow,Petrochelidon pyrrhonota,Aves,species
tree_swallow,Tree Swallow,Tachycineta bicolor,Aves,species
scarlet_tanager,Scarlet Tanager,Piranga olivacea,Aves,species
summer_tanager,Summer Tanager,Piranga rubra,Aves,species
artic_tern,Arctic Tern,Sterna paradisaea,Aves,species
black_tern,Black Tern,Chlidonias niger,Aves,species
caspian_tern,Caspian Tern,Hydroprogne caspia,Aves,species
common_tern,Common Tern,Sterna hirundo,Aves,species
elegant_tern,Elegant Tern,Thalasseus elegans,Aves,species
forsters_tern,Forster’s Tern,Sterna forsteri,Aves,species
least_tern,Least Tern,Sternula antillarum,Aves,species
green_tailed_towhee,Green-tailed Towhee,Pipilo chlorurus,Aves,species
brown_thrasher,Brown Thrasher,Toxostoma rufum,Aves,species
sage_thrasher,Sage Thrasher,Oreoscoptes montanus,Aves,species
black_capped_vireo,Black-capped Vireo,Vireo atricapilla,Aves,species
blue_headed_vireo,Blue-headed Vireo,Vireo solitarius,Aves,species
philadelphia_vireo,Philadelphia Vireo,Vireo philadelphicus,Aves,species
red_eyed_vireo,Red-eyed Vireo,Vireo olivaceus,Aves,species
warbling_vireo,Warbling Vireo,Vireo gilvus,Aves,species
white_eyed_vireo,White-eyed Vireo,Vireo griseus,Aves,species
yellow_throated_vireo,Yellow-throated Vireo,Vireo flavifrons,Aves,species
bay_breasted_warbler,Bay-breasted Warbler,Setophaga castanea,Aves,species
black_and_white_warbler,Black-and-white Warbler,Mniotilta varia,Aves,species
black_throated_blue_warbler,Black-throated Blue Warbler,Setophaga caerulescens,Aves,species
blue_winged_warbler,Blue-winged Warbler,Vermivora cyanoptera,Aves,species
canada_warbler,Canada Warbler,Cardellina canadensis,Aves,species
cape_may_warbler,Cape May Warbler,Setophaga tigrina,Aves,species
cerulean_warbler,Cerulean Warbler,Setophaga cerulea,Aves,species
chestnut_sided_warbler,Chestnut-sided Warbler,Setophaga pensylvanica,Aves,species
golden_winged_warbler,Golden-winged Warbler,Vermivora chrysoptera,Aves,species
hooded_warbler,Hooded Warbler,Setophaga citrina,Aves,species
kentucky_warbler,Kentucky Warbler,Geothlypis formosa,Aves,species
magnolia_warbler,Magnolia Warbler,Setophaga magnolia,Aves,species
mourning_warbler,Mourning Warbler,Geothlypis philadelphia,Aves,species
myrtle_warbler,Myrtle Warbler,Setophaga coronata,Aves,species
nashville_warbler,Nashville Warbler,Leiothlypis ruficapilla,Aves,species
orange_crowned_warbler,Orange-crowned Warbler,Leiothlypis celata,Aves,species
palm_warbler,Palm Warbler,Setophaga palmarum,Aves,species
pine_warbler,Pine Warbler,Setophaga pinus,Aves,species
prairie_warbler,Prairie Warbler,Setophaga discolor,Aves,species
prothonotary_warbler,Prothonotary Warbler,Protonotaria citrea,Aves,species
swainson_warbler,Swainson’s Warbler,Limnothlypis swainsonii,Aves,species
tennessee_warbler,Tennessee Warbler,Leiothlypis peregrina,Aves,species
wilson_warbler,Wilson’s Warbler,Cardellina pusilla,Aves,species
worm_eating_warbler,Worm-eating Warbler,Helmitheros vermivorum,Aves,species
yellow_warbler,Yellow Warbler,Setophaga petechia,Aves,species
northern_waterthrush,Northern Waterthrush,Parkesia noveboracensis,Aves,species
louisiana_waterthrush,Louisiana Waterthrush,Parkesia motacilla,Aves,species
bohemian_waxwing,Bohemian Waxwing,Bombycilla garrulus,Aves,species
cedar_waxwing,Cedar Waxwing,Bombycilla cedrorum,Aves,species
american_three_toed_woodpecker,American Three-toed Woodpecker,Picoides dorsalis,Aves,species
pileated_woodpecker,Pileated Woodpecker,Dryocopus pileatus,Aves,species
red_bellied_woodpecker,Red-bellied Woodpecker,Melanerpes carolinus,Aves,species
red_cockaded_woodpecker,Red-cockaded Woodpecker,Picoides borealis,Aves,species
red_headed_woodpecker,Red-headed Woodpecker,Melanerpes erythrocephalus,Aves,species
downy_woodpecker,Downy Woodpecker,Picoides pubescens,Aves,species
bewick_wren,Bewick’s Wren,Thryomanes bewickii,Aves,species
cactus_wren,Cactus Wren,Campylorhynchus brunneicapillus,Aves,species
carolina_wren,Carolina Wren,Thryothorus ludovicianus,Aves,species
house_wren,House Wren,Troglodytes aedon,Aves,species
marsh_wren,Marsh Wren,Cistothorus palustris,Aves,species
rock_wren,Rock Wren,Salpinctes obsoletus,Aves,species
winter_wren,Winter Wren,Troglodytes hiemalis,Aves,species
common_yellowthroat,Common Yellowthroat,Geothlypis trichas,Aves,species
